"DATA_SOURCE","LON","LAT","SURVEY_ID","DATE","SEASON","DEPTH","TEMP_BOTTOM","NO_TOW","WEIGHT_TOW","WEIGHT_AVG","TEMP_AIR","SALINITY_BOTTOM","TEMP_SURFACE","SALINITY_SURFACE","LENGTH","NOTES","WEIGHT","AGE","WEIGHT_BAYESIAN"
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.7135,42.70333,"198692","1986-09-11","FALL",20,10.2,9,0.2,0.0222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.11483,41.9745,"198692","1986-09-15","FALL",17,14.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72983,42.55067,"198792","1987-09-10","FALL",33,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72983,42.55067,"198792","1987-09-10","FALL",33,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72317,42.70417,"198792","1987-09-11","FALL",17,8.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MA_DMF",-70.72317,42.70417,"198792","1987-09-11","FALL",17,8.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
